Gene                  p_val  avg_logFC pct.1 pct.2     p_val_adj
Rspo3          0.000000e+00  1.5777188 0.998 0.259  0.000000e+00
Bmp4           0.000000e+00  1.5666861 0.666 0.032  0.000000e+00
Cldn5          0.000000e+00 -1.3096641 0.415 0.950  0.000000e+00
Selp          1.056816e-285  1.2866933 0.621 0.054 1.185536e-281
Edn1          4.072255e-271  1.3280247 0.744 0.123 4.568256e-267
Gpm6a         3.080014e-259  1.2205491 0.581 0.051 3.455160e-255
Ctsh          2.321175e-258  1.3067305 0.643 0.084 2.603894e-254
Prss23        4.719899e-255  1.2467886 0.561 0.047 5.294782e-251
Gpihbp1       6.587907e-249 -0.5126263 0.923 0.984 7.390314e-245
Apoe          4.007483e-243 -0.3687343 0.994 0.995 4.495595e-239
Wnt9b         6.119583e-229  1.1540156 0.576 0.068 6.864949e-225
Sparc         4.452758e-227 -0.5878104 0.816 0.966 4.995104e-223
Clec4g        9.518432e-224 -0.4321553 0.969 0.985 1.067778e-219
Dnase1l3      8.509888e-223 -0.6674137 0.782 0.951 9.546392e-219
Plpp3         1.565194e-222 -0.5918209 0.856 0.950 1.755835e-218
Igfbp7        5.167315e-212 -0.2805645 1.000 0.997 5.796694e-208
Cdh13         2.168585e-207  0.8959145 0.916 0.313 2.432719e-203
Fmo2          1.024176e-206  1.1515446 0.395 0.017 1.148920e-202
Vwf           4.957459e-200  1.0633238 0.733 0.181 5.561278e-196
Stab2         6.362585e-193 -1.0755864 0.390 0.818 7.137548e-189
Tgfb2         1.496826e-188  0.9592813 0.332 0.007 1.679139e-184
Entpd1        2.034057e-188  0.9855991 0.455 0.043 2.281805e-184
Rbp1          4.954380e-185  0.9766599 0.710 0.171 5.557824e-181
Lhx6          1.234135e-183  0.9868726 0.548 0.081 1.384453e-179
Gpr182        4.790349e-174 -0.4930259 0.867 0.938 5.373814e-170
Maf           8.685400e-174 -0.6551784 0.701 0.904 9.743282e-170
Tspan13       1.017458e-173  0.9435609 0.678 0.161 1.141385e-169
Tspan7        1.127918e-173 -0.4811409 0.840 0.933 1.265298e-169
Cit           2.009245e-168  0.9616298 0.442 0.050 2.253971e-164
Gatm          2.085105e-168 -1.0261322 0.375 0.778 2.339071e-164
Mras          5.088506e-167  0.9349039 0.390 0.033 5.708285e-163
Klk8          3.706445e-166  0.9309008 0.521 0.082 4.157890e-162
Igfbp4        9.519190e-161 -0.3707539 0.914 0.957 1.067863e-156
Serinc3       3.637186e-157 -0.3613323 0.944 0.968 4.080195e-153
Rbms3         6.775200e-154  0.8863270 0.368 0.033 7.600420e-150
Calm2         4.066199e-151 -0.2828077 0.972 0.962 4.561462e-147
Ctsl          2.605658e-150 -0.5038883 0.870 0.922 2.923027e-146
Cd81          3.566903e-150 -0.3105373 0.968 0.971 4.001351e-146
Mrc1          5.395891e-150 -0.9257437 0.394 0.791 6.053110e-146
Bambi         9.416807e-147  0.9172875 0.585 0.134 1.056377e-142
Tmem176a      1.386717e-143  0.7105228 0.906 0.390 1.555620e-139
Slco3a1       3.845968e-142  0.8273506 0.679 0.188 4.314407e-138
Tmsb10        1.253533e-137  0.5552881 0.956 0.587 1.406214e-133
Fabp4         3.025190e-135  0.2804331 0.999 0.905 3.393658e-131
Kdr           4.779947e-135 -0.5468925 0.753 0.878 5.362144e-131
Alcam         6.649421e-131  0.7742317 0.263 0.012 7.459321e-127
Amigo2        2.388987e-130  0.8482355 0.562 0.134 2.679966e-126
Fcgr2b        9.785667e-129 -0.6011192 0.707 0.858 1.097756e-124
Cyp4b1        5.968768e-128 -0.6989814 0.573 0.820 6.695764e-124
Hs3st1        8.413253e-125  0.8295108 0.288 0.022 9.437987e-121
Fxyd6         8.851707e-123  0.8111122 0.273 0.018 9.929845e-119
Plvap         2.092523e-120  0.5141709 0.969 0.611 2.347392e-116
Gstm5         1.340687e-117  0.7914010 0.328 0.039 1.503983e-113
Eln           2.342626e-117  0.8870140 0.355 0.050 2.627958e-113
Prelp         1.054308e-116  0.7432343 0.657 0.202 1.182722e-112
Nuak1         9.932187e-116  0.8136810 0.409 0.073 1.114193e-111
Bgn           2.534586e-114  0.3877227 0.988 0.742 2.843299e-110
Adam23        9.963321e-114 -1.2935858 0.109 0.537 1.117685e-109
Tmem176b      4.759846e-113  0.5734675 0.939 0.501 5.339595e-109
Ctsb          4.565439e-112 -0.3248026 0.911 0.935 5.121509e-108
Lrg1          4.550487e-108  0.7151848 0.683 0.230 5.104737e-104
Bcam          1.021665e-107  0.7087979 0.701 0.247 1.146104e-103
Fstl1         1.092103e-107  0.7265358 0.322 0.043 1.225121e-103
Cdc42ep3      1.265829e-107  0.7177227 0.662 0.221 1.420007e-103
Bmp2          5.878070e-105 -0.6147156 0.599 0.804 6.594019e-101
Rdx           8.983862e-105  0.6371114 0.816 0.358 1.007810e-100
Lgmn          5.842158e-104 -0.4985312 0.711 0.836 6.553733e-100
Clta          8.618544e-103 -0.3353516 0.854 0.872  9.668283e-99
2200002D01Rik 2.046666e-102  0.7145114 0.640 0.218  2.295950e-98
Vcam1         1.359092e-101  0.6735008 0.798 0.356  1.524630e-97
Ctnnal1        1.298277e-99  0.7011497 0.335 0.054  1.456407e-95
Mt1            2.794415e-96 -0.8398616 0.389 0.679  3.134775e-92
AU021092       1.282658e-94  0.6289485 0.744 0.299  1.438885e-90
Plppr5         1.388968e-90  0.7013214 0.366 0.074  1.558144e-86
Tnni3          1.387108e-87  0.7667415 0.252 0.032  1.556058e-83
Fam167b        1.748136e-87 -0.3621498 0.824 0.841  1.961059e-83
Oit3           2.062767e-87 -0.5506776 0.600 0.778  2.314012e-83
Ptgs1          3.557510e-86  0.5192270 0.903 0.475  3.990815e-82
