Gene                  p_val  avg_logFC pct.1 pct.2     p_val_adj
Slc6a2         0.000000e+00  1.8063607 0.759 0.027  0.000000e+00
Cpe            0.000000e+00  1.6208464 0.649 0.032  0.000000e+00
Car8           0.000000e+00  1.5108529 0.599 0.018  0.000000e+00
Bst1           0.000000e+00  1.4741442 0.596 0.016  0.000000e+00
Amigo2        6.414644e-252  1.4675302 0.642 0.047 7.167723e-248
Vcam1         1.106429e-249  1.5600699 0.628 0.045 1.236324e-245
Bgn           4.018972e-249  1.5563413 0.812 0.095 4.490800e-245
Tmem45a       4.015518e-239  1.1413957 0.355 0.005 4.486940e-235
Vwf           4.451892e-228  1.5288821 0.972 0.191 4.974544e-224
Cytl1         1.189792e-222  1.5924455 0.624 0.055 1.329473e-218
Prss23        3.038554e-217  1.5575571 0.947 0.212 3.395280e-213
Fgl2          9.449532e-203  1.2042140 0.465 0.026 1.055891e-198
AU021092      2.286240e-197  1.2092325 0.461 0.027 2.554644e-193
Ch25h         7.424238e-189  1.1835748 0.358 0.013 8.295843e-185
Ptgs2         1.039304e-181  0.9429153 0.255 0.003 1.161319e-177
Ctsh          1.844607e-181  1.3187466 0.496 0.039 2.061164e-177
Fbln5         6.192875e-156  1.1735555 0.493 0.047 6.919918e-152
Emp3          1.503769e-147  1.2008891 0.670 0.105 1.680312e-143
Ptgis         3.200691e-138  1.0055441 0.404 0.034 3.576452e-134
Plac8         6.072164e-124  1.1639157 0.638 0.113 6.785036e-120
Nr2f2         4.534218e-106  0.9886605 0.355 0.036 5.066535e-102
Cd81          8.953365e-106  0.9785538 0.908 0.283 1.000449e-101
Lrg1          9.879946e-102  1.1436121 0.613 0.131  1.103985e-97
Cldn5         1.269616e-100 -0.4320879 0.950 0.996  1.418669e-96
Ackr3          4.546388e-98  1.0244247 0.766 0.209  5.080134e-94
Mgst1          7.216486e-98  0.9202184 0.358 0.040  8.063702e-94
Vegfc          1.266431e-96  0.9766696 0.553 0.103  1.415110e-92
Mustn1         3.938748e-94  0.9604442 0.578 0.117  4.401157e-90
Fstl1          3.832933e-88  0.8986174 0.418 0.064  4.282919e-84
Cryab          2.113703e-85  0.9754012 0.461 0.083  2.361852e-81
Spint2         7.741521e-84  0.7546731 0.255 0.022  8.650376e-80
Oat            1.704560e-82  0.8443479 0.355 0.049  1.904675e-78
Apoe           2.027001e-78  1.0471096 0.450 0.087  2.264971e-74
Ptgs1          2.326456e-78  0.8834650 0.504 0.103  2.599582e-74
Tmem100        7.151971e-72 -0.4111675 0.879 0.970  7.991613e-68
Bace2          5.573433e-70  0.7713761 0.294 0.039  6.227754e-66
Arhgdib        7.709267e-70  0.7523841 0.330 0.049  8.614335e-66
Serpinb6b      2.393564e-69  0.9024786 0.504 0.118  2.674568e-65
Eln            6.581310e-69  0.8908350 0.638 0.186  7.353955e-65
Fabp4          8.381027e-69  1.0167589 0.305 0.044  9.364959e-65
Csrp2          1.451838e-64  0.8246177 0.688 0.224  1.622284e-60
Ltbp4          1.950954e-59  0.7372365 0.489 0.120  2.179996e-55
Tshz2          5.846928e-57  0.6727516 0.252 0.035  6.533357e-53
