Gene                  p_val  avg_logFC pct.1 pct.2     p_val_adj
Maf           6.818828e-175  2.3168492 0.948 0.036 7.619358e-171
Lyve1         5.570852e-157  2.0226175 0.976 0.116 6.224870e-153
Mmrn1         7.618350e-137  1.6790584 1.000 0.267 8.512744e-133
Fgl2          1.071878e-131  1.8078757 0.916 0.124 1.197716e-127
Reln          2.717942e-127  1.7593680 0.920 0.148 3.037028e-123
Prelp         2.602272e-123  1.8104045 0.817 0.066 2.907779e-119
Lcn2          2.930389e-118  1.8077954 0.805 0.080 3.274417e-114
Adgrg3        4.821898e-114  1.7437111 0.761 0.057 5.387989e-110
Ccl21a        2.134709e-113  0.8931745 1.000 0.790 2.385323e-109
Pard6g        1.197898e-112  1.8127424 0.693 0.030 1.338532e-108
Cyp4b1        2.764833e-110  1.5527860 0.884 0.180 3.089424e-106
Tnxb          8.709478e-109  1.7824953 0.717 0.048 9.731971e-105
Fxyd6         2.787582e-107  1.6642227 0.757 0.068 3.114844e-103
Ntn1          8.862035e-107  1.6985226 0.705 0.046 9.902438e-103
Col23a1       1.085009e-105  1.7098686 0.665 0.032 1.212389e-101
Dtx1          7.380413e-104  1.7105843 0.653 0.030 8.246874e-100
Nr2f2         1.032349e-103  1.6092416 0.785 0.091  1.153547e-99
Igfbp7        3.499218e-100 -0.7831238 0.837 0.985  3.910026e-96
Ly6c1         4.752313e-100 -0.9431044 0.681 0.982  5.310234e-96
Prox1          2.220374e-93  1.6444411 0.586 0.024  2.481046e-89
Il33           8.549354e-93  1.6504796 0.578 0.022  9.553048e-89
Ly6a           1.084258e-92 -1.1852423 0.474 0.952  1.211550e-88
Flt4           8.879339e-90  1.2909824 0.896 0.242  9.921773e-86
Cp             4.975623e-89  1.6351855 0.594 0.033  5.559761e-85
Sparc          5.703541e-89 -1.5856218 0.231 0.902  6.373137e-85
Timp2          2.362470e-88  1.5761338 0.653 0.062  2.639824e-84
Flt1           4.474280e-88 -1.6919950 0.183 0.891  4.999560e-84
Gmfg           2.289448e-85  1.6221207 0.562 0.030  2.558229e-81
Fabp4          2.689378e-83 -0.5711689 0.908 0.988  3.005111e-79
Cd63           1.939296e-81  1.5170531 0.633 0.068  2.166969e-77
Cald1          1.987621e-81  1.4765005 0.693 0.101  2.220967e-77
Pdpn           3.450247e-81  1.5271393 0.522 0.021  3.855306e-77
Stab1          6.659960e-78  1.2221496 0.857 0.212  7.441840e-74
Nrp1           4.246879e-77 -1.8024898 0.108 0.822  4.745463e-73
Lbp            4.494311e-77  1.4869307 0.526 0.030  5.021944e-73
Ifi27l2a       9.633324e-73  1.3763728 0.705 0.133  1.076428e-68
Tbx1           3.741423e-71  1.4162574 0.478 0.024  4.180666e-67
Nrp2           2.601878e-70  1.1063703 0.869 0.289  2.907339e-66
Abi3bp         3.281645e-70  1.4288670 0.474 0.024  3.666911e-66
Rspo3          2.700200e-69  1.4117929 0.414 0.007  3.017203e-65
Sparcl1        9.155833e-69 -1.4644651 0.211 0.812  1.023073e-64
Esam           2.266914e-66 -1.4499345 0.179 0.806  2.533050e-62
Klf2           1.020600e-64 -0.7289885 0.689 0.945  1.140419e-60
Thy1           1.026364e-64  1.3504876 0.474 0.035  1.146859e-60
Gpx3           2.678433e-63  1.4107182 0.522 0.058  2.992881e-59
Dlg1           6.780711e-62  1.3553430 0.506 0.054  7.576767e-58
Cd200          1.467329e-60 -0.9815824 0.422 0.869  1.639594e-56
Hspb1          1.596078e-60 -0.5504201 0.849 0.957  1.783458e-56
Rnase4         4.220362e-60  1.2968554 0.470 0.041  4.715833e-56
Ybx1           1.698749e-59 -0.6942801 0.633 0.895  1.898183e-55
Adamtsl1       3.050128e-59  1.2903776 0.418 0.024  3.408213e-55
Gpm6a          3.238982e-59  1.2943660 0.398 0.018  3.619238e-55
Trf            3.154642e-58  1.3259584 0.410 0.025  3.524997e-54
Cyp1b1         5.808242e-58  1.2998178 0.566 0.093  6.490129e-54
Kcnk5          1.087918e-57  1.2757461 0.462 0.041  1.215640e-53
Id3            4.355331e-57 -1.0315236 0.430 0.842  4.866647e-53
Sh3gl3         1.954079e-56  1.2059754 0.386 0.018  2.183488e-52
Ltc4s          3.259363e-56  1.3546762 0.458 0.048  3.642012e-52
Plvap          7.591739e-56 -0.7967263 0.677 0.876  8.483009e-52
Slc45a3        3.698051e-54  1.2158466 0.347 0.010  4.132202e-50
Emilin1        5.220845e-54  1.2371945 0.426 0.035  5.833772e-50
AW112010       7.612968e-54 -1.3030135 0.223 0.744  8.506730e-50
Cldn5          4.267310e-53  0.8654348 0.892 0.332  4.768292e-49
Gucy1b3        4.636411e-53  1.2393123 0.390 0.026  5.180726e-49
Gm9780         1.130873e-52  1.1676599 0.299 0.000  1.263638e-48
Cxcl12         1.131604e-52 -1.2524450 0.303 0.769  1.264454e-48
Actg1          1.541551e-52 -0.5325133 0.769 0.936  1.722529e-48
Rtkn           2.072164e-52  1.2092401 0.382 0.025  2.315436e-48
Epas1          4.055133e-52 -1.2397236 0.227 0.755  4.531206e-48
Kcnn3          2.444702e-51  1.2770361 0.382 0.026  2.731710e-47
