Gene                 p_val  avg_logFC pct.1 pct.2    p_val_adj
Aqp7          9.203124e-70  1.5474079 0.520 0.042 1.028357e-65
Fabp4         1.661212e-63  0.4027784 1.000 0.958 1.856238e-59
Cd36          7.542247e-62  0.9194596 0.914 0.452 8.427707e-58
Gpihbp1       1.452320e-52  0.9626533 0.833 0.389 1.622822e-48
C1qtnf9       6.720987e-51  1.2212817 0.652 0.186 7.510031e-47
Tspan7        2.493682e-50  1.1890839 0.652 0.191 2.786441e-46
Abcb1a        3.767235e-43  1.1763917 0.520 0.112 4.209508e-39
Id3           2.106064e-42  0.5770510 0.910 0.685 2.353316e-38
Tspan13       1.668150e-41  0.6146869 0.887 0.608 1.863991e-37
Id1           1.013854e-40  0.7981037 0.837 0.454 1.132881e-36
Cst3          1.970872e-40  0.3507179 0.973 0.899 2.202252e-36
Meox2         7.939910e-40  1.2041214 0.312 0.025 8.872055e-36
Crip1         1.396065e-39  0.5647634 0.919 0.668 1.559963e-35
Tcf15         1.078049e-37  0.8661022 0.733 0.347 1.204612e-33
Pdzd2         4.312519e-37  1.1872752 0.498 0.126 4.818809e-33
Cxcl12        9.738226e-37  0.6362869 0.905 0.574 1.088149e-32
Lims2         1.184519e-36  0.8088329 0.747 0.349 1.323582e-32
Timp4         4.393610e-34  1.2055753 0.258 0.019 4.909420e-30
Cdh13         2.220554e-33  1.0853077 0.294 0.032 2.481247e-29
Igfbp4        3.222826e-32 -0.9910205 0.240 0.687 3.601186e-28
Sparcl1       5.515606e-32  0.5631628 0.882 0.591 6.163138e-28
Plvap         1.446937e-31 -0.6065474 0.643 0.878 1.616807e-27
Cav1          2.699308e-30  0.3411713 0.950 0.834 3.016206e-26
Rgcc          1.751799e-29  0.6739393 0.824 0.454 1.957460e-25
Gng11         3.623386e-29  0.3645097 0.928 0.806 4.048771e-25
Tgfbr2        3.105675e-28 -1.0734011 0.176 0.606 3.470282e-24
Hspb1         1.485247e-26  0.2970135 0.986 0.912 1.659615e-22
Prss23        2.270578e-26 -0.7871433 0.308 0.707 2.537144e-22
Fabp5         9.099563e-26  0.7704119 0.652 0.349 1.016785e-21
Pltp          2.237114e-25  0.7217735 0.661 0.347 2.499752e-21
Aqp1          1.046169e-23  0.5232354 0.824 0.653 1.168990e-19
Nkx2-3        2.182796e-22 -1.0615364 0.149 0.507 2.439056e-18
Myo10         2.820277e-22  0.9423314 0.376 0.110 3.151378e-18
Kcna5         2.881514e-22  0.9001420 0.258 0.045 3.219804e-18
Jam2          5.796654e-22  0.7223464 0.588 0.291 6.477181e-18
Sparc         6.810698e-22  0.4159020 0.946 0.665 7.610274e-18
Scn1b         8.286749e-22 -1.1622980 0.054 0.402 9.259613e-18
Meis2         6.115155e-21 -1.1859149 0.045 0.377 6.833074e-17
Apoe          6.342596e-21  0.8021530 0.534 0.247 7.087217e-17
Col15a1       6.970845e-21 -1.1097014 0.081 0.430 7.789222e-17
Cd24a         9.381280e-21 -1.0537955 0.086 0.437 1.048264e-16
Ly6c1         1.112748e-20  0.2804372 0.991 0.879 1.243384e-16
Thbs1         5.222540e-20 -1.0552476 0.122 0.459 5.835666e-16
Sox17         1.221696e-19  0.6177064 0.679 0.401 1.365123e-15
Tnfaip2       1.293167e-19 -1.0308502 0.081 0.420 1.444985e-15
Mmrn1         1.409286e-19 -0.9955821 0.208 0.529 1.574736e-15
Lyve1         8.328446e-19 -1.1832380 0.100 0.408 9.306206e-15
Maf           2.620084e-18 -1.2983086 0.041 0.339 2.927682e-14
Ybx1          4.264906e-17  0.2797858 0.919 0.801 4.765606e-13
Zfp36         6.429720e-17  0.3790666 0.837 0.692 7.184569e-13
Nr2f2         9.009330e-17 -1.0702097 0.050 0.335 1.006703e-12
Prelp         1.393898e-16 -1.1290033 0.045 0.323 1.557542e-12
Vim           3.948092e-16  0.4068767 0.742 0.592 4.411598e-12
Rasa4         5.417666e-16 -0.9334800 0.100 0.401 6.053700e-12
Ly6a          8.889895e-16  0.2918358 0.955 0.792 9.933569e-12
Slco2a1       9.050069e-16 -0.9418550 0.095 0.386 1.011255e-11
Fgl2          1.287056e-15 -1.0009292 0.113 0.392 1.438156e-11
Ctnnbip1      1.418382e-15  0.7399266 0.389 0.159 1.584900e-11
Exoc3l2       3.403066e-15 -1.0168980 0.041 0.305 3.802586e-11
Palmd         3.568391e-15  0.7715294 0.339 0.127 3.987320e-11
Ehd4          4.639169e-15 -0.6451740 0.335 0.590 5.183808e-11
Il10rb        5.901424e-15  0.7192861 0.367 0.150 6.594252e-11
Ctla2a        6.988235e-15  0.4521475 0.724 0.556 7.808654e-11
Ccdc85a       9.883754e-15  0.6792509 0.271 0.078 1.104411e-10
Ntn1          1.650290e-14 -1.0632228 0.027 0.271 1.844034e-10
Tshz2         1.782750e-14  0.5271495 0.643 0.400 1.992045e-10
Cdh5          1.789581e-14  0.3019395 0.824 0.717 1.999678e-10
Ehd2          2.156463e-14  0.4751001 0.652 0.475 2.409631e-10
Dusp1         2.230033e-14  0.3186092 0.864 0.724 2.491839e-10
Tspan18       2.377917e-14 -0.7679582 0.145 0.440 2.657084e-10
Dab2          2.733980e-14 -0.8113535 0.109 0.388 3.054949e-10
Epas1         2.791950e-14  0.4133313 0.774 0.574 3.119725e-10
Socs3         3.231222e-14  0.5512339 0.620 0.418 3.610568e-10
Stt3b         3.390262e-14 -0.9037675 0.045 0.300 3.788278e-10
Mast4         4.152684e-14  0.4603754 0.674 0.432 4.640209e-10
Mecom         6.960980e-14  0.6378918 0.471 0.243 7.778199e-10
Cd93          1.283242e-13  0.5338752 0.597 0.384 1.433894e-09
Lmo2          1.300594e-13 -0.7972082 0.104 0.377 1.453283e-09
Nfkbia        1.440453e-13  0.3385913 0.828 0.713 1.609562e-09
Fmo2          1.591102e-13  0.7219615 0.299 0.109 1.777897e-09
Cd200         1.800775e-13  0.2987560 0.869 0.720 2.012186e-09
Pim3          2.066918e-13  0.5155043 0.647 0.452 2.309574e-09
Fbln2         2.343142e-13  0.6856352 0.339 0.135 2.618226e-09
Camk2n1       2.970957e-13 -0.8247295 0.095 0.355 3.319748e-09
S1pr1         3.270285e-13  0.3988233 0.729 0.556 3.654216e-09
Bcam          3.833347e-13  0.5059663 0.575 0.341 4.283382e-09
Pard6g        4.011397e-13 -0.9851678 0.027 0.252 4.482335e-09
Mfge8         4.203896e-13 -0.5162154 0.348 0.655 4.697434e-09
Junb          4.299665e-13  0.2762584 0.887 0.788 4.804446e-09
Clca3a1       4.632730e-13 -0.9401127 0.041 0.274 5.176613e-09
Ablim1        1.194668e-12  0.6669856 0.434 0.226 1.334922e-08
Cd63          1.858914e-12 -0.9119115 0.041 0.264 2.077150e-08
Cyp1b1        2.473883e-12 -0.9192670 0.045 0.264 2.764316e-08
Reln          2.774905e-12 -0.7897344 0.154 0.404 3.100679e-08
Cald1         2.876033e-12 -0.8417906 0.072 0.307 3.213679e-08
Adgrg3        5.352717e-12 -0.8663526 0.063 0.290 5.981125e-08
Bcl2l1        5.595572e-12  0.6649527 0.312 0.127 6.252493e-08
Timp2         5.837394e-12 -0.8769892 0.045 0.264 6.522704e-08
Lcn2          6.983270e-12 -0.8923859 0.095 0.317 7.803106e-08
4-Sep         9.345871e-12  0.5590232 0.493 0.297 1.044308e-07
Edn1          9.985058e-12  0.5571478 0.416 0.198 1.115730e-07
Lpl           1.012542e-11  0.7379306 0.258 0.093 1.131415e-07
Fli1          1.990864e-11  0.5894572 0.443 0.246 2.224592e-07
Fxyd6         2.420387e-11 -0.8375961 0.077 0.295 2.704541e-07
Cav2          2.763998e-11  0.3171279 0.719 0.608 3.088491e-07
Bcr           2.990470e-11 -0.6205741 0.244 0.502 3.341551e-07
Bsg           3.227524e-11  0.2713013 0.783 0.720 3.606436e-07
Ptpn18        5.073653e-11 -0.7583847 0.109 0.335 5.669300e-07
Arrb1         5.623699e-11 -0.7790990 0.059 0.271 6.283922e-07
Flt4          5.733586e-11 -0.6373261 0.222 0.466 6.406709e-07
Tnxb          6.755184e-11 -0.8410035 0.059 0.268 7.548243e-07
Chchd10       1.170011e-10 -0.8074116 0.050 0.252 1.307370e-06
Ncoa7         1.509986e-10 -0.6815064 0.172 0.408 1.687259e-06
Tmem176a      1.656754e-10 -0.5669477 0.290 0.514 1.851257e-06
Esam          2.990030e-10  0.3276312 0.792 0.602 3.341059e-06
Nrp2          3.542346e-10 -0.5680068 0.249 0.494 3.958217e-06
